suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Control,0.1,train,6,9,0.8660253882408142,3.722419500350952,3.0
Control,0.1,train,6,9,0.8961043953895569,3.7334041595458984,3.0
Control,0.1,train,6,9,0.9181563258171082,3.739384651184082,3.0
Control,0.1,train,6,9,0.9350513815879822,3.7424733638763428,3.0
Control,0.1,train,6,9,0.9519794583320618,3.74479079246521,3.0
Control,0.1,train,6,9,0.9607973694801331,3.7472808361053467,3.0
Control,0.1,train,6,9,0.9610750079154968,3.750249147415161,3.0
Control,0.1,train,6,9,0.9614464640617371,3.756868600845337,3.0
Control,0.1,train,7,11,0.8209391236305237,3.875791072845459,3.142857074737549
Control,0.1,train,8,13,0.7231043577194214,3.8627872467041016,3.25
Control,0.1,train,9,15,0.6620997190475464,3.92718243598938,3.3333332538604736
Control,0.1,train,9,15,0.6927952170372009,3.877645254135132,3.3333332538604736
Control,0.1,train,9,15,0.726820707321167,3.8674540519714355,3.3333332538604736
Control,0.1,train,9,15,0.7951030731201172,3.867306709289551,3.3333332538604736
Control,0.1,train,10,17,0.7443623542785645,3.900291919708252,3.4000000953674316
Control,0.1,train,10,17,0.7839710116386414,3.875781536102295,3.4000000953674316
Control,0.1,train,10,17,0.8248384594917297,3.8682079315185547,3.4000000953674316
Control,0.1,train,12,21,0.7181318402290344,3.8691349029541016,3.5
Control,0.1,train,12,21,0.7549443244934082,3.849771738052368,3.5
Control,0.1,train,12,21,0.8131513595581055,3.839590311050415,3.5
Control,0.1,train,12,21,0.8385748863220215,3.8387768268585205,3.5
Control,0.1,train,12,21,0.8640046119689941,3.839374303817749,3.5
Control,0.1,train,12,21,0.8894140124320984,3.840801239013672,3.5
Control,0.1,train,12,21,0.9122924208641052,3.8413960933685303,3.5
Control,0.1,train,12,21,0.9295263290405273,3.8404481410980225,3.5
Control,0.1,train,12,21,0.9558854103088379,3.838300943374634,3.5
Control,0.1,train,12,21,0.9564187526702881,3.8359642028808594,3.5
Control,0.1,train,12,21,0.9567956328392029,3.8343632221221924,3.5
Control,0.1,train,12,21,0.9571309089660645,3.8332433700561523,3.5
Control,0.1,train,13,23,0.8822446465492249,3.887319803237915,3.538461446762085
Control,0.1,train,15,27,0.7661011815071106,3.889800786972046,3.5999999046325684
Control,0.1,train,17,31,0.7146536707878113,3.917379856109619,3.6470587253570557
Control,0.1,train,17,31,0.7441567778587341,3.9151248931884766,3.6470587253570557
Control,0.1,train,17,32,0.7750728726387024,3.9003188610076904,3.7647058963775635
Control,0.1,train,17,32,0.8047534823417664,3.8978469371795654,3.7647058963775635
