suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Control,0.1,train,6,9,0.8660253882408142,3.722419500350952,3.0
Control,0.1,train,6,9,0.9152013659477234,3.7342779636383057,3.0
Control,0.1,train,7,11,0.7877289652824402,3.8782360553741455,3.142857074737549
Control,0.1,train,8,13,0.7015250325202942,3.877592086791992,3.25
Control,0.1,train,9,15,0.6432124972343445,3.874022960662842,3.3333332538604736
Control,0.1,train,9,15,0.6794865131378174,3.860816478729248,3.3333332538604736
Control,0.1,train,9,15,0.7181522250175476,3.861482858657837,3.3333332538604736
Control,0.1,train,9,15,0.7544243931770325,3.863936185836792,3.3333332538604736
Control,0.1,train,10,17,0.7080038785934448,3.896090269088745,3.4000000953674316
Control,0.1,train,10,17,0.7421720623970032,3.8727848529815674,3.4000000953674316
Control,0.1,train,10,17,0.8237186670303345,3.870673656463623,3.4000000953674316
Control,0.1,train,10,17,0.8634978532791138,3.8720035552978516,3.4000000953674316
Control,0.1,train,11,19,0.8106465935707092,3.9254560470581055,3.454545497894287
Control,0.1,train,11,19,0.8337734341621399,3.8875539302825928,3.454545497894287
Control,0.1,train,11,19,0.8528177738189697,3.8745882511138916,3.454545497894287
Control,0.1,train,11,19,0.8717630505561829,3.8674850463867188,3.454545497894287
Control,0.1,train,11,19,0.8906741738319397,3.8624541759490967,3.454545497894287
Control,0.1,train,11,19,0.9093446731567383,3.8584442138671875,3.454545497894287
Control,0.1,train,11,19,0.9199491739273071,3.8530054092407227,3.454545497894287
Control,0.1,train,11,19,0.9296239614486694,3.84846568107605,3.454545497894287
Control,0.1,train,12,21,0.8770015835762024,3.846620559692383,3.5
Control,0.1,train,12,21,0.8919968605041504,3.8384876251220703,3.5
Control,0.1,train,12,21,0.9007675051689148,3.8332855701446533,3.5
Control,0.1,train,12,21,0.9095006585121155,3.8300998210906982,3.5
Control,0.1,train,14,27,0.7843593955039978,3.891265392303467,3.857142925262451
Control,0.1,train,16,32,0.6982922554016113,3.8558850288391113,4.0
Control,0.1,train,18,37,0.6433748602867126,3.8588528633117676,4.111111164093018
Control,0.1,train,18,37,0.681108295917511,3.83504581451416,4.111111164093018
Control,0.1,train,18,37,0.7202193737030029,3.8277883529663086,4.111111164093018
Control,0.1,train,18,37,0.756531834602356,3.825165271759033,4.111111164093018
Control,0.1,train,20,41,0.7415193319320679,3.8716652393341064,4.099999904632568
Control,0.1,train,20,41,0.781716525554657,3.860305070877075,4.099999904632568
Control,0.1,train,20,41,0.8213796615600586,3.858947277069092,4.099999904632568
Control,0.1,train,20,41,0.8564460873603821,3.8649299144744873,4.099999904632568
Control,0.1,train,22,45,0.8025579452514648,3.9261696338653564,4.090909004211426
Control,0.1,train,22,45,0.8271865844726562,3.911144495010376,4.090909004211426
Control,0.1,train,22,45,0.846885621547699,3.9097349643707275,4.090909004211426
Control,0.1,train,22,45,0.8646326661109924,3.912968635559082,4.090909004211426
Control,0.1,train,22,45,0.8826892971992493,3.918124198913574,4.090909004211426
Control,0.1,train,22,46,0.9026243090629578,3.912191867828369,4.181818008422852
Control,0.1,train,22,46,0.9248018860816956,3.894869089126587,4.181818008422852
Control,0.1,train,24,51,0.856724202632904,3.9012815952301025,4.25
Control,0.1,train,24,51,0.8727717995643616,3.8872509002685547,4.25
Control,0.1,train,24,51,0.8875114321708679,3.8812475204467773,4.25
Control,0.1,train,24,51,0.8961279988288879,3.876763343811035,4.25
Control,0.1,train,24,51,0.9046218395233154,3.873934030532837,4.25
Control,0.1,train,27,59,0.8103490471839905,3.913879871368408,4.370370388031006
Control,0.1,train,30,65,0.7361902594566345,3.9482834339141846,4.333333492279053
Control,0.1,train,33,72,0.6818042397499084,3.941782236099243,4.363636493682861
Control,0.1,train,33,72,0.705156147480011,3.9411964416503906,4.363636493682861
Control,0.1,train,33,72,0.7473502159118652,3.9630377292633057,4.363636493682861
Control,0.1,train,37,83,0.6809605956077576,3.987847089767456,4.486486434936523
Control,0.1,train,37,83,0.6978275179862976,3.9609811305999756,4.486486434936523
Control,0.1,train,37,83,0.7167069315910339,3.96022891998291,4.486486434936523
Control,0.1,train,37,83,0.7367986440658569,3.966122627258301,4.486486434936523
Control,0.1,train,37,83,0.7570884227752686,3.9737470149993896,4.486486434936523
Control,0.1,train,40,90,0.7175589799880981,3.9882044792175293,4.5
Control,0.1,train,40,91,0.7420024275779724,3.9774577617645264,4.550000190734863
Control,0.1,train,40,91,0.7664101719856262,3.972848892211914,4.550000190734863
Control,0.1,train,40,91,0.7896548509597778,3.9760146141052246,4.550000190734863
Control,0.1,train,40,91,0.8319471478462219,3.9861979484558105,4.550000190734863
Control,0.1,train,40,91,0.8504948616027832,3.988276243209839,4.550000190734863
Control,0.1,train,40,91,0.8665435910224915,3.9883675575256348,4.550000190734863
Control,0.1,train,43,100,0.8196321725845337,3.967562198638916,4.651162624359131
Control,0.1,train,43,100,0.8364642858505249,3.9631404876708984,4.651162624359131
Control,0.1,train,43,100,0.8520709276199341,3.9615697860717773,4.651162624359131
Control,0.1,train,43,100,0.8629884719848633,3.959442138671875,4.651162624359131
Control,0.1,train,43,100,0.8730087280273438,3.9576685428619385,4.651162624359131
Control,0.1,train,47,109,0.8069962859153748,3.9661624431610107,4.638298034667969
Control,0.1,train,53,125,0.7225652933120728,3.9506466388702393,4.716980934143066
Control,0.1,train,58,138,0.6738253235816956,3.948033571243286,4.758620738983154
Control,0.1,train,58,138,0.6820663809776306,3.950815200805664,4.758620738983154
Control,0.1,train,58,138,0.6900595426559448,3.955366373062134,4.758620738983154
Control,0.1,train,65,158,0.6221977472305298,3.9909870624542236,4.861538410186768
Control,0.1,train,65,158,0.6280146837234497,3.9554786682128906,4.861538410186768
Control,0.1,train,65,159,0.6352488398551941,3.9466781616210938,4.892307758331299
Control,0.1,train,65,159,0.644198477268219,3.929934501647949,4.892307758331299
Control,0.1,train,65,159,0.654638409614563,3.9258718490600586,4.892307758331299
Control,0.1,train,71,175,0.607710599899292,3.950767755508423,4.929577350616455
Control,0.1,train,71,175,0.6202746033668518,3.926095485687256,4.929577350616455
Control,0.1,train,71,175,0.6497512459754944,3.9200258255004883,4.929577350616455
Control,0.1,train,71,175,0.6650030612945557,3.918680191040039,4.929577350616455
Control,0.1,train,71,175,0.6808957457542419,3.9226176738739014,4.929577350616455
Control,0.1,train,71,175,0.6972072720527649,3.9262619018554688,4.929577350616455
Control,0.1,train,71,175,0.7132509350776672,3.9296865463256836,4.929577350616455
Control,0.1,train,74,183,0.6981076598167419,3.9303510189056396,4.945945739746094
Control,0.1,train,74,183,0.712219774723053,3.929694890975952,4.945945739746094
Control,0.1,train,74,183,0.7263233065605164,3.9264519214630127,4.945945739746094
Control,0.1,train,74,183,0.7375702857971191,3.9253592491149902,4.945945739746094
Control,0.1,train,74,183,0.7479333877563477,3.926757335662842,4.945945739746094
Control,0.1,train,88,218,0.6452143788337708,3.9619252681732178,4.954545497894287
Control,0.1,train,95,235,0.6047347784042358,3.938920736312866,4.947368621826172
Control,0.1,train,95,235,0.611030101776123,3.9322807788848877,4.947368621826172
Control,0.1,train,95,235,0.6169682145118713,3.9278552532196045,4.947368621826172
Control,0.1,train,95,235,0.6216152906417847,3.9286813735961914,4.947368621826172
Control,0.1,train,103,257,0.5765970945358276,3.9491395950317383,4.990291118621826
Control,0.1,train,103,257,0.5789569020271301,3.937189817428589,4.990291118621826
Control,0.1,train,103,257,0.5800976753234863,3.941042423248291,4.990291118621826
Control,0.1,train,103,257,0.5812017321586609,3.9493308067321777,4.990291118621826
Control,0.1,train,112,278,0.5356264710426331,3.9750823974609375,4.964285850524902
Adhesion,0.0,train,6,9,0.8660253882408142,3.722419500350952,3.0
Adhesion,0.0,train,6,9,0.9228784441947937,3.755976438522339,3.0
Adhesion,0.0,train,7,11,0.7956768870353699,3.884148120880127,3.142857074737549
Adhesion,0.0,train,8,13,0.7098111510276794,3.912310838699341,3.25
Adhesion,0.0,train,9,15,0.6543923616409302,3.933851957321167,3.3333332538604736
Adhesion,0.0,train,9,15,0.6914333701133728,3.9228787422180176,3.3333332538604736
Adhesion,0.0,train,9,15,0.7301256656646729,3.9198591709136963,3.3333332538604736
Adhesion,0.0,train,10,18,0.7195419073104858,3.9773201942443848,3.5999999046325684
Adhesion,0.0,train,10,18,0.7566550970077515,3.9359257221221924,3.5999999046325684
Adhesion,0.0,train,10,18,0.7969727516174316,3.923156261444092,3.5999999046325684
Adhesion,0.0,train,10,18,0.8376649022102356,3.915764570236206,3.5999999046325684
Adhesion,0.0,train,10,18,0.8770425915718079,3.911182403564453,3.5999999046325684
Adhesion,0.0,train,11,20,0.8238580226898193,3.941800117492676,3.6363637447357178
Adhesion,0.0,train,11,20,0.8470309972763062,3.9129388332366943,3.6363637447357178
