-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=6 | area=5.42282/60 | coverage=9.03804%
t=2 h | cells=6 | area=5.55246/60 | coverage=9.2541%
t=3 h | cells=6 | area=5.65229/60 | coverage=9.42049%
t=4 h | cells=6 | area=5.75273/60 | coverage=9.58789%
t=5 h | cells=6 | area=5.80504/60 | coverage=9.67506%
t=6 h | cells=6 | area=5.80617/60 | coverage=9.67695%
t=7 h | cells=6 | area=5.80684/60 | coverage=9.67806%
t=8 h | cells=6 | area=5.80745/60 | coverage=9.67909%
t=9 h | cells=7 | area=5.79349/60 | coverage=9.65581%
t=10 h | cells=8 | area=5.86061/60 | coverage=9.76769%
t=11 h | cells=9 | area=6.04143/60 | coverage=10.0691%
t=12 h | cells=9 | area=6.31921/60 | coverage=10.532%
t=13 h | cells=9 | area=6.62285/60 | coverage=11.0381%
t=14 h | cells=9 | area=6.92774/60 | coverage=11.5462%
t=15 h | cells=9 | area=7.23244/60 | coverage=12.0541%
t=16 h | cells=10 | area=7.52939/60 | coverage=12.549%
t=17 h | cells=10 | area=7.92579/60 | coverage=13.2097%
t=18 h | cells=10 | area=8.33154/60 | coverage=13.8859%
t=19 h | cells=12 | area=8.73137/60 | coverage=14.5523%
t=20 h | cells=12 | area=9.17689/60 | coverage=15.2948%
t=21 h | cells=12 | area=9.57325/60 | coverage=15.9554%
t=22 h | cells=12 | area=9.88038/60 | coverage=16.4673%
t=23 h | cells=12 | area=10.1819/60 | coverage=16.9699%
t=24 h | cells=12 | area=10.4826/60 | coverage=17.471%
t=25 h | cells=12 | area=10.7827/60 | coverage=17.9711%
t=26 h | cells=12 | area=11.0551/60 | coverage=18.4251%
t=27 h | cells=12 | area=11.2598/60 | coverage=18.7663%
t=28 h | cells=12 | area=11.4627/60 | coverage=19.1046%
t=29 h | cells=12 | area=11.5741/60 | coverage=19.2902%
t=30 h | cells=12 | area=11.5796/60 | coverage=19.2993%
t=31 h | cells=12 | area=11.583/60 | coverage=19.305%
t=32 h | cells=12 | area=11.5861/60 | coverage=19.3102%
t=33 h | cells=13 | area=11.5743/60 | coverage=19.2905%
t=34 h | cells=15 | area=11.6795/60 | coverage=19.4659%
t=35 h | cells=17 | area=11.9378/60 | coverage=19.8963%
t=36 h | cells=17 | area=12.3842/60 | coverage=20.6404%
t=37 h | cells=17 | area=12.8872/60 | coverage=21.4786%
