-- Configuring done (3.5s)
-- Generating done (2.0s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestControl_15x4
=== BUILD DONE, STARTING TestControl_15x4 ===
Running 3 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestControl_15x4.hpp *****


Entering TestControl_rep1
Starting simulation: Control_15x4 rep1
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=6 | area=5.37663/60 | coverage=8.96104%
t=2 h | cells=6 | area=5.50894/60 | coverage=9.18156%
t=3 h | cells=6 | area=5.61031/60 | coverage=9.35051%
t=4 h | cells=6 | area=5.71188/60 | coverage=9.51979%
t=5 h | cells=6 | area=5.76478/60 | coverage=9.60797%
t=6 h | cells=6 | area=5.76645/60 | coverage=9.61075%
t=7 h | cells=6 | area=5.76762/60 | coverage=9.6127%
t=8 h | cells=6 | area=5.76868/60 | coverage=9.61447%
t=9 h | cells=7 | area=5.74657/60 | coverage=9.57762%
t=10 h | cells=8 | area=5.78483/60 | coverage=9.64139%
t=11 h | cells=9 | area=5.9589/60 | coverage=9.9315%
t=12 h | cells=9 | area=6.23516/60 | coverage=10.3919%
t=13 h | cells=9 | area=6.54139/60 | coverage=10.9023%
t=14 h | cells=9 | area=6.84874/60 | coverage=11.4146%
t=15 h | cells=9 | area=7.15593/60 | coverage=11.9265%
t=16 h | cells=10 | area=7.44362/60 | coverage=12.406%
t=17 h | cells=10 | area=7.83971/60 | coverage=13.0662%
t=18 h | cells=10 | area=8.24839/60 | coverage=13.7473%
t=19 h | cells=12 | area=8.61758/60 | coverage=14.3626%
t=20 h | cells=12 | area=9.05933/60 | coverage=15.0989%
t=21 h | cells=12 | area=9.45136/60 | coverage=15.7523%
t=22 h | cells=12 | area=9.75782/60 | coverage=16.263%
t=23 h | cells=12 | area=10.0629/60 | coverage=16.7715%
t=24 h | cells=12 | area=10.3681/60 | coverage=17.2801%
t=25 h | cells=12 | area=10.673/60 | coverage=17.7883%
t=26 h | cells=12 | area=10.9475/60 | coverage=18.2458%
t=27 h | cells=12 | area=11.1543/60 | coverage=18.5905%
t=28 h | cells=12 | area=11.3593/60 | coverage=18.9322%
t=29 h | cells=12 | area=11.4706/60 | coverage=19.1177%
t=30 h | cells=12 | area=11.477/60 | coverage=19.1284%
t=31 h | cells=12 | area=11.4815/60 | coverage=19.1359%
t=32 h | cells=12 | area=11.4856/60 | coverage=19.1426%
t=33 h | cells=13 | area=11.4692/60 | coverage=19.1153%
t=34 h | cells=15 | area=11.4915/60 | coverage=19.1525%
t=35 h | cells=17 | area=11.7148/60 | coverage=19.5246%
t=36 h | cells=17 | area=12.1491/60 | coverage=20.2485%
t=37 h | cells=17 | area=12.6507/60 | coverage=21.0844%
t=38 h | cells=17 | area=13.1762/60 | coverage=21.9604%
t=39 h | cells=17 | area=13.6808/60 | coverage=22.8013%
t=40 h | cells=19 | area=14.1184/60 | coverage=23.5306%
t=41 h | cells=19 | area=14.7557/60 | coverage=24.5929%
t=42 h | cells=19 | area=15.4482/60 | coverage=25.747%
t=43 h | cells=22 | area=16.1412/60 | coverage=26.902%
t=44 h | cells=22 | area=16.9253/60 | coverage=28.2088%
t=45 h | cells=22 | area=17.6127/60 | coverage=29.3545%
t=46 h | cells=22 | area=18.1101/60 | coverage=30.1834%
t=47 h | cells=22 | area=18.5936/60 | coverage=30.9893%
t=48 h | cells=22 | area=19.0787/60 | coverage=31.7978%
t=49 h | cells=22 | area=19.5746/60 | coverage=32.6244%
t=50 h | cells=22 | area=20.0503/60 | coverage=33.4172%
t=51 h | cells=22 | area=20.4045/60 | coverage=34.0075%
t=52 h | cells=22 | area=20.7055/60 | coverage=34.5091%
t=53 h | cells=22 | area=20.8753/60 | coverage=34.7921%
t=54 h | cells=22 | area=20.8991/60 | coverage=34.8319%
t=55 h | cells=22 | area=20.9144/60 | coverage=34.8573%
t=56 h | cells=22 | area=20.9277/60 | coverage=34.8795%
t=57 h | cells=24 | area=20.901/60 | coverage=34.835%
t=58 h | cells=28 | area=21.0546/60 | coverage=35.0909%
t=59 h | cells=32 | area=21.4684/60 | coverage=35.7807%
t=60 h | cells=32 | area=22.2297/60 | coverage=37.0495%
t=61 h | cells=32 | area=23.1521/60 | coverage=38.5869%
t=62 h | cells=32 | area=24.0717/60 | coverage=40.1196%
t=63 h | cells=32 | area=24.9308/60 | coverage=41.5513%
t=64 h | cells=35 | area=25.7391/60 | coverage=42.8986%
t=65 h | cells=35 | area=26.6184/60 | coverage=44.364%
t=66 h | cells=35 | area=27.5106/60 | coverage=45.851%
t=67 h | cells=39 | area=28.2793/60 | coverage=47.1322%
t=68 h | cells=39 | area=29.1795/60 | coverage=48.6325%
t=69 h | cells=39 | area=30.0575/60 | coverage=50.0959%
t=70 h | cells=39 | area=30.6367/60 | coverage=51.0612%
t=71 h | cells=39 | area=31.2129/60 | coverage=52.0215%
t=72 h | cells=39 | area=31.7809/60 | coverage=52.9682%
t=73 h | cells=39 | area=32.3356/60 | coverage=53.8926%
t=74 h | cells=39 | area=32.8871/60 | coverage=54.8119%
t=75 h | cells=39 | area=33.5106/60 | coverage=55.8511%
t=76 h | cells=39 | area=34.0642/60 | coverage=56.7736%
t=77 h | cells=39 | area=34.551/60 | coverage=57.585%
t=78 h | cells=39 | area=34.9/60 | coverage=58.1666%
t=79 h | cells=39 | area=35.1861/60 | coverage=58.6434%
t=80 h | cells=39 | area=35.4282/60 | coverage=59.0469%
t=81 h | cells=43 | area=35.6274/60 | coverage=59.379%
t=82 h | cells=48 | area=35.7438/60 | coverage=59.5729%
t=83 h | cells=56 | area=35.795/60 | coverage=59.6583%
t=84 h | cells=56 | area=36.4492/60 | coverage=60.7486%
t=85 h | cells=56 | area=37.3977/60 | coverage=62.3294%
t=86 h | cells=56 | area=38.3284/60 | coverage=63.8806%
t=87 h | cells=56 | area=39.3163/60 | coverage=65.5271%
t=88 h | cells=60 | area=40.287/60 | coverage=67.1449%
t=89 h | cells=60 | area=41.3327/60 | coverage=68.8878%
t=90 h | cells=60 | area=42.3527/60 | coverage=70.5879%
t=91 h | cells=67 | area=43.3642/60 | coverage=72.2736%
t=92 h | cells=67 | area=44.3847/60 | coverage=73.9745%
t=93 h | cells=67 | area=45.4013/60 | coverage=75.6688%
t=94 h | cells=67 | area=46.0976/60 | coverage=76.8293%
t=95 h | cells=67 | area=46.7051/60 | coverage=77.8418%
t=96 h | cells=67 | area=47.3035/60 | coverage=78.8391%
t=97 h | cells=67 | area=47.9084/60 | coverage=79.8473%
t=98 h | cells=67 | area=48.5264/60 | coverage=80.8773%
t=99 h | cells=67 | area=49.1613/60 | coverage=81.9355%
t=100 h | cells=67 | area=49.8127/60 | coverage=83.0212%
t=101 h | cells=67 | area=50.4777/60 | coverage=84.1294%
t=102 h | cells=67 | area=51.1331/60 | coverage=85.2219%
t=103 h | cells=67 | area=51.7461/60 | coverage=86.2435%
t=104 h | cells=67 | area=52.3145/60 | coverage=87.1908%
t=105 h | cells=73 | area=52.8484/60 | coverage=88.0807%
t=106 h | cells=80 | area=53.3398/60 | coverage=88.8996%
t=107 h | cells=93 | area=53.6294/60 | coverage=89.3823%
t=108 h | cells=93 | area=54.1836/60 | coverage=90.306%
t=109 h | cells=93 | area=54.9737/60 | coverage=91.6229%
t=110 h | cells=93 | area=55.9058/60 | coverage=93.1763%
t=111 h | cells=93 | area=56.9446/60 | coverage=94.9077%
t=112 h | cells=99 | area=58.0199/60 | coverage=96.6998%
t=113 h | cells=99 | area=59.0061/60 | coverage=98.3435%
