-- Configuring done (3.1s)
-- Generating done (2.4s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestDeformationEnergy
=== BUILD DONE, STARTING TestDeformationEnergy ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestDeformationEnergy.hpp *****


Entering TestAreaElasticity_1p0_rep1
Starting simulation: AreaElasticity_1.0_rep1
areaElasticity = 1
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=6 | area=4.22063/60 | coverage=7.03438%
t=2 h | cells=6 | area=3.82698/60 | coverage=6.3783%
t=3 h | cells=6 | area=3.66036/60 | coverage=6.1006%
t=4 h | cells=6 | area=3.60903/60 | coverage=6.01505%
t=5 h | cells=6 | area=3.61209/60 | coverage=6.02015%
t=6 h | cells=6 | area=3.61896/60 | coverage=6.0316%
t=7 h | cells=6 | area=3.62429/60 | coverage=6.04049%
t=8 h | cells=6 | area=3.62897/60 | coverage=6.04828%
t=9 h | cells=7 | area=3.61185/60 | coverage=6.01975%
t=10 h | cells=8 | area=3.38846/60 | coverage=5.64743%
t=11 h | cells=9 | area=3.18591/60 | coverage=5.30986%
t=12 h | cells=9 | area=2.98834/60 | coverage=4.98057%
t=13 h | cells=9 | area=2.90328/60 | coverage=4.83881%
t=14 h | cells=9 | area=2.89746/60 | coverage=4.82911%
t=15 h | cells=9 | area=2.94681/60 | coverage=4.91135%
t=16 h | cells=10 | area=2.97101/60 | coverage=4.95168%
t=17 h | cells=10 | area=2.99818/60 | coverage=4.99697%
t=18 h | cells=10 | area=3.09493/60 | coverage=5.15821%
t=19 h | cells=12 | area=3.04897/60 | coverage=5.08161%
t=20 h | cells=12 | area=3.01604/60 | coverage=5.02673%
t=21 h | cells=12 | area=3.07316/60 | coverage=5.12194%
t=22 h | cells=12 | area=3.20874/60 | coverage=5.3479%
t=23 h | cells=12 | area=3.40457/60 | coverage=5.67428%
t=24 h | cells=12 | area=3.64338/60 | coverage=6.07231%
t=25 h | cells=12 | area=3.91109/60 | coverage=6.51848%
t=26 h | cells=12 | area=4.18917/60 | coverage=6.98195%
t=27 h | cells=12 | area=4.46625/60 | coverage=7.44375%
t=28 h | cells=12 | area=4.74225/60 | coverage=7.90375%
t=29 h | cells=12 | area=5.00195/60 | coverage=8.33658%
t=30 h | cells=12 | area=5.20422/60 | coverage=8.6737%
t=31 h | cells=12 | area=5.36444/60 | coverage=8.94073%
t=32 h | cells=12 | area=5.50104/60 | coverage=9.16841%
t=33 h | cells=13 | area=5.59756/60 | coverage=9.32927%
t=34 h | cells=15 | area=5.35097/60 | coverage=8.91828%
t=35 h | cells=16 | area=5.14868/60 | coverage=8.58113%
t=36 h | cells=16 | area=5.01857/60 | coverage=8.36429%
t=37 h | cells=16 | area=5.02695/60 | coverage=8.37825%
t=38 h | cells=16 | area=5.12697/60 | coverage=8.54494%
t=39 h | cells=17 | area=5.22852/60 | coverage=8.7142%
t=40 h | cells=18 | area=5.3323/60 | coverage=8.88717%
t=41 h | cells=18 | area=5.47944/60 | coverage=9.1324%
